ReviewID,ProductID,UserID,name,category,ratings,reviews
RW36211,P123001,U0139181,"Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)", Electronics,4,"Review: ""The Redmi 10 Power is quite impressive for its price point. The battery life is fantastic, lasting me all day without needing a charge. I appreciate the fast charging feature as well. However, I found that the camera quality could be better in low light conditions"
RW36212,P123002,U0880239,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)", Electronics,4.3,"The OnePlus Nord CE 2 Lite 5G in Blue Tide is quite impressive for its price point! With 6GB RAM and 128GB storage, there's plenty of room for multitasking and storing all your favorite apps and media. The camera captures clear images, although night photography could be better"
RW36213,P123003,U0470578,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...", Electronics,4.2,"These earbuds are pretty good for their price point! The sound quality is pretty decent, especially for bass lovers like me thanks to their bombastic bass feature. I also appreciate how quickly they charge, just 10 minutes gives you 2 hours of playtime which is super convenient when I'm in a rush"
RW36214,P123004,U0589484,"Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapte...", Electronics,4.1,"Review: The Samsung Galaxy M33 5G in Mystique Green is quite an impressive device for its price range! It boasts a whopping 6000mAh battery life that can last you all day long, even if you're using heavy apps or gaming frequently"
RW36215,P123005,U0071059,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)", Electronics,4.3,"The OnePlus Nord CE 2 Lite 5G in Black Dusk is quite impressive! With its 6GB RAM and ample 128GB storage, multitasking becomes smoother than ever before. The camera delivers crisp shots too. Although battery life could be better, this device still earns an easy 4"
RW36216,P123006,U0838920,"Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)", Electronics,4,"The Redmi 10 Power in Sporty Orange is quite an impressive device for its price point. The phone's performance is snappy thanks to the generous 8GB RAM, ensuring smooth multitasking even when running multiple apps simultaneously. The ample storage space provided by the 128GB memory makes managing files and media hassle-free"
RW36217,P123007,U0303043,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Ga...", Electronics,3.9,"The Boat Airdopes 141 are decent truly wireless earbuds that offer good sound quality and long battery life. However, they lack some premium features like active noise cancellation and are not as comfortable for long hours of use compared to other models in this price range. The low latency mode is great for gaming, though"
RW36218,P123008,U0470560,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)", Electronics,4.6,This power adapter from Apple is fantastic for charging all your devices quickly and efficiently. It's compact size makes it perfect for travel or just keeping around the house
RW36219,P123009,U0637944,"Fire-Boltt Ninja C Pro Plus 1.83"" Smart Watch with Bluetooth Cing, AI Voice Assistance, 100 Sports Modes IP67 Ratin...", Electronics,4.3,"The Fire-Boltt Ninja C Pro Plus is an impressive smart watch for its price point! It has an impressive display size at 1.83 inches, which makes reading messages or checking your heart rate super easy"
RW36220,P123010,U0562139,"Samsung Galaxy M33 5G (Emerald Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter...", Electronics,4.1,"Review: The Samsung Galaxy M33 5G in Emerald Brown is quite impressive! With its massive 6GB RAM and expandable storage up to 12GB via RAM Plus, multitasking is made effortless. Its long-lasting 6000mAh battery ensures you stay powered all day long, even during heavy usage"
RW36221,P123011,U0085055,"realme narzo 50A Prime (Flash Black, 4GB RAM+64GB Storage) Full High Definition+ Display |50MP AI Triple Camera| Charger I...", Electronics,4,"The Realme Narzo 50A Prime is a solid choice for budget-conscious consumers looking for high performance. The phone's FHD+ display provides crisp visuals, while its 50MP AI triple camera captures stunning photos"
RW36222,P123012,U0912680,"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Andro...", Electronics,4,"The Redmi A1 is quite impressive for its price point - I love how sleek and stylish it looks with that leather texture design. The battery life lasts forever thanks to the massive 5000mAh capacity. Although not perfect, the dual cam delivers decent shots in well-lit conditions"
